day,date,weight,start_time,run_type,distance_type,weather,location,run_shoes,distance,total_time,average_pace,splits,notes
Tuesday,1/27/2015,,,,,,,,,,,,
Wednesday,1/28/2015,,,,,,,,,,,,
Thursday,1/29/2015,,,,,,,,,,,,
Friday,1/30/2015,,,,,,,,,,,,
Saturday,1/31/2015,,,,,,,,,,,,
Sunday,2/1/2015,,,,,,,,,,,,
Monday,2/2/2015,,,,,,,,,,,,
Tuesday,2/3/2015,,,,,,,,,,,,
Wednesday,2/4/2015,,,,,,,,,,,,
Thursday,2/5/2015,,,,,,,,,,,,
Friday,2/6/2015,,,,,,,,,,,,
Saturday,2/7/2015,,,,,,,,,,,,
Sunday,2/8/2015,,,,,,,,,,,,
Monday,2/9/2015,,,,,,,,,,,,
Tuesday,2/10/2015,,,,,,,,,,,,
Wednesday,2/11/2015,,,,,,,,,,,,
Thursday,2/12/2015,,,,,,,,,,,,
Friday,2/13/2015,,,,,,,,,,,,
Saturday,2/14/2015,,,,,,,,,,,,
Sunday,2/15/2015,,,,,,,,,,,,
Monday,2/16/2015,,,,,,,,,,,,
Tuesday,2/17/2015,,,,,,,,,,,,
Wednesday,2/18/2015,,,,,,,,,,,,
Thursday,2/19/2015,,,,,,,,,,,,
Friday,2/20/2015,,,,,,,,,,,,
Saturday,2/21/2015,,,,,,,,,,,,
Sunday,2/22/2015,,,,,,,,,,,,
Monday,2/23/2015,,,,,,,,,,,,
Tuesday,2/24/2015,,,,,,,,,,,,
Wednesday,2/25/2015,,,,,,,,,,,,
Thursday,2/26/2015,,,,,,,,,,,,
Friday,2/27/2015,,,,,,,,,,,,
Saturday,2/28/2015,,,,,,,,,,,,
Sunday,3/1/2015,,,,,,,,,,,,
Monday,3/2/2015,,,,,,,,,,,,
Tuesday,3/3/2015,,,,,,,,,,,,
Wednesday,3/4/2015,,,,,,,,,,,,
Thursday,3/5/2015,,,,,,,,,,,,
Friday,3/6/2015,,,,,,,,,,,,
Saturday,3/7/2015,,9:50 AM,,Short Distance,,Bonterra Village,Nike Free 4.0,3.18,0:25:39,8:04,"7:11,8:07,8:47",
Sunday,3/8/2015,,6:40 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,2.67,0:22:58,8:35,"7:54,9:01",
Monday,3/9/2015,,,,,,,,,,,,
Tuesday,3/10/2015,,,,,,,,,,,,
Wednesday,3/11/2015,,,,,,,,,,,,
Thursday,3/12/2015,,,,,,,,,,,,
Friday,3/13/2015,,,,,,,,,,,,
Saturday,3/14/2015,,,,,,,,,,,,
Sunday,3/15/2015,,,,,,,,,,,,
Monday,3/16/2015,,,,,,,,,,,,
Tuesday,3/17/2015,,,,,,,,,,,,
Wednesday,3/18/2015,,,,,,,,,,,,
Thursday,3/19/2015,,,,,,,,,,,,
Friday,3/20/2015,,,,,,,,,,,,
Saturday,3/21/2015,,,,,,,,,,,,
Sunday,3/22/2015,,,,,,,,,,,,
Monday,3/23/2015,,,,,,,,,,,,
Tuesday,3/24/2015,,,,,,,,,,,,
Wednesday,3/25/2015,,,,,,,,,,,,
Thursday,3/26/2015,,,,,,,,,,,,
Friday,3/27/2015,,,,,,,,,,,,
Saturday,3/28/2015,,,,,,,,,,,,
Sunday,3/29/2015,,,,,,,,,,,,
Monday,3/30/2015,,,,,,,,,,,,
Tuesday,3/31/2015,,,,,,,,,,,,
Wednesday,4/1/2015,,,,,,,,,,,,
Thursday,4/2/2015,,,,,,,,,,,,
Friday,4/3/2015,,,,,,,,,,,,
Saturday,4/4/2015,,,,,,,,,,,,
Sunday,4/5/2015,,,,,,,,,,,,
Monday,4/6/2015,,,,,,,,,,,,
Tuesday,4/7/2015,,,,,,,,,,,,
Wednesday,4/8/2015,,,,,,,,,,,,
Thursday,4/9/2015,,,,,,,,,,,,
Friday,4/10/2015,,,,,,,,,,,,
Saturday,4/11/2015,,,,,,,,,,,,
Sunday,4/12/2015,,,,,,,,,,,,
Monday,4/13/2015,,,,,,,,,,,,
Tuesday,4/14/2015,,,,,,,,,,,,
Wednesday,4/15/2015,,,,,,,,,,,,
Thursday,4/16/2015,,,,,,,,,,,,
Friday,4/17/2015,,,,,,,,,,,,
Saturday,4/18/2015,,,,,,,,,,,,
Sunday,4/19/2015,,,,,,,,,,,,
Monday,4/20/2015,,,,,,,,,,,,
Tuesday,4/21/2015,,,,,,,,,,,,
Wednesday,4/22/2015,,,,,,,,,,,,
Thursday,4/23/2015,,,,,,,,,,,,
Friday,4/24/2015,,,,,,,,,,,,
Saturday,4/25/2015,,,,,,,,,,,,
Sunday,4/26/2015,,,,,,,,,,,,
Monday,4/27/2015,,,,,,,,,,,,
Tuesday,4/28/2015,,,,,,,,,,,,
Wednesday,4/29/2015,,,,,,,,,,,,
Thursday,4/30/2015,,,,,,,,,,,,
Friday,5/1/2015,,,,,,,,,,,,
Saturday,5/2/2015,,,,,,,,,,,,
Sunday,5/3/2015,,,,,,,,,,,,
Monday,5/4/2015,,,,,,,,,,,,
Tuesday,5/5/2015,,,,,,,,,,,,
Wednesday,5/6/2015,,,,,,,,,,,,
Thursday,5/7/2015,,,,,,,,,,,,
Friday,5/8/2015,,,,,,,,,,,,
Saturday,5/9/2015,,,,,,,,,,,,
Sunday,5/10/2015,,,,,,,,,,,,
Monday,5/11/2015,,,,,,,,,,,,
Tuesday,5/12/2015,,,,,,,,,,,,
Wednesday,5/13/2015,,,,,,,,,,,,
Thursday,5/14/2015,,,,,,,,,,,,
Friday,5/15/2015,,,,,,,,,,,,
Saturday,5/16/2015,,,,,,,,,,,,
Sunday,5/17/2015,,,,,,,,,,,,
Monday,5/18/2015,,,,,,,,,,,,
Tuesday,5/19/2015,,,,,,,,,,,,
Wednesday,5/20/2015,,,,,,,,,,,,
Thursday,5/21/2015,,,,,,,,,,,,
Friday,5/22/2015,,,,,,,,,,,,
Saturday,5/23/2015,,,,,,,,,,,,
Sunday,5/24/2015,,,,,,,,,,,,
Monday,5/25/2015,,,,,,,,,,,,
Tuesday,5/26/2015,,,,,,,,,,,,
Wednesday,5/27/2015,,,,,,,,,,,,
Thursday,5/28/2015,,,,,,,,,,,,
Friday,5/29/2015,,,,,,,,,,,,
Saturday,5/30/2015,,,,,,,,,,,,
Sunday,5/31/2015,,,,,,,,,,,,
Monday,6/1/2015,,,,,,,,,,,,
Tuesday,6/2/2015,,,,,,,,,,,,
Wednesday,6/3/2015,,,,,,,,,,,,
Thursday,6/4/2015,,,,,,,,,,,,
Friday,6/5/2015,,,,,,,,,,,,
Saturday,6/6/2015,,,,,,,,,,,,
Sunday,6/7/2015,,,,,,,,,,,,
Monday,6/8/2015,,,,,,,,,,,,
Tuesday,6/9/2015,,,,,,,,,,,,
Wednesday,6/10/2015,,,,,,,,,,,,
Thursday,6/11/2015,,,,,,,,,,,,
Friday,6/12/2015,,,,,,,,,,,,
Saturday,6/13/2015,,,,,,,,,,,,
Sunday,6/14/2015,,,,,,,,,,,,
Monday,6/15/2015,,,,,,,,,,,,
Tuesday,6/16/2015,,,,,,,,,,,,
Wednesday,6/17/2015,,,,,,,,,,,,
Thursday,6/18/2015,,,,,,,,,,,,
Friday,6/19/2015,,,,,,,,,,,,
Saturday,6/20/2015,,,,,,,,,,,,
Sunday,6/21/2015,,,,,,,,,,,,
Monday,6/22/2015,,,,,,,,,,,,
Tuesday,6/23/2015,,,,,,,,,,,,
Wednesday,6/24/2015,,,,,,,,,,,,
Thursday,6/25/2015,,,,,,,,,,,,
Friday,6/26/2015,,,,,,,,,,,,
Saturday,6/27/2015,,,,,,,,,,,,
Sunday,6/28/2015,,,,,,,,,,,,
Monday,6/29/2015,,,,,,,,,,,,
Tuesday,6/30/2015,,,,,,,,,,,,
Wednesday,7/1/2015,,,,,,,,,,,,
Thursday,7/2/2015,,,,,,,,,,,,
Friday,7/3/2015,,,,,,,,,,,,
Saturday,7/4/2015,,,,,,,,,,,,
Sunday,7/5/2015,,,,,,,,,,,,
Monday,7/6/2015,,,,,,,,,,,,
Tuesday,7/7/2015,,,,,,,,,,,,
Wednesday,7/8/2015,,,,,,,,,,,,
Thursday,7/9/2015,,,,,,,,,,,,
Friday,7/10/2015,,,,,,,,,,,,
Saturday,7/11/2015,,,,,,,,,,,,
Sunday,7/12/2015,,,,,,,,,,,,
Monday,7/13/2015,,,,,,,,,,,,
Tuesday,7/14/2015,,,,,,,,,,,,
Wednesday,7/15/2015,,,,,,,,,,,,
Thursday,7/16/2015,,,,,,,,,,,,
Friday,7/17/2015,,,,,,,,,,,,
Saturday,7/18/2015,,,,,,,,,,,,
Sunday,7/19/2015,,,,,,,,,,,,
Monday,7/20/2015,,,,,,,,,,,,
Tuesday,7/21/2015,,,,,,,,,0:30:00,,,
Wednesday,7/22/2015,,,,,,,,,0:30:00,,,
Thursday,7/23/2015,,,,,,,,,0:30:00,,,
Friday,7/24/2015,,,,,,,,,0:30:00,,,
Saturday,7/25/2015,,,,,,,,,0:30:00,,,
Sunday,7/26/2015,,,,,,,,,0:50:00,,,
Monday,7/27/2015,,,,,,,,,,,,
Tuesday,7/28/2015,,,,,,,,,0:40:00,,,
Wednesday,7/29/2015,,6:14 PM,,,Cloudy,Bonterra Village,,2.93,0:22:17,7:37,"6:49,7:34,8:32",
Thursday,7/30/2015,,,,,,,,,,,,
Friday,7/31/2015,,7:15 PM,,,Mostly Sunny,Bonterra Village,,3.48,0:26:33,7:37,"6:49,7:24,8:16",
Saturday,8/1/2015,,8:44 PM,,,Mostly Clear,Bonterra Village,,2.57,0:19:42,7:39,"7:15,7:48,8:02",
Sunday,8/2/2015,,,,,,,,,,,,
Monday,8/3/2015,,6:48 PM,,,Partly Cloudy,Bonterra Village,,2.88,0:21:09,7:19,"6:51,7:07,8:00",
Tuesday,8/4/2015,,,,,,,,,,,,
Wednesday,8/5/2015,,6:41 PM,,,Mostly Cloudy,Bonterra Village,,3.15,0:24:53,7:53,"6:53,7:28,9:21",
Thursday,8/6/2015,,,,,,,,,,,,
Friday,8/7/2015,,6:58 PM,,,Mostly Sunny,Bonterra Village,,5.43,0:45:47,8:26,"7:15,11:24,7:08,7:36,7:42",
Saturday,8/8/2015,,,,,,,,,,,,
Sunday,8/9/2015,,6:40 PM,,,Mostly Sunny,Bonterra Village,,3.18,0:24:43,7:46,"6:45,7:35,7:53",
Monday,8/10/2015,,,,,,,,,,,,
Tuesday,8/11/2015,,7:37 PM,,,Mostly Sunny,Bonterra Village,,1.39,0:10:45,7:44,7:01,
Tuesday,8/11/2015,,7:52 PM,,,Mostly Sunny,Bonterra Village,,2.58,0:19:01,7:22,"7:04,7:26",
Wednesday,8/12/2015,,,,,,,,,,,,
Thursday,8/13/2015,,,,,,,,,,,,
Friday,8/14/2015,,5:52 PM,,,Mostly Sunny,UNC Campus,,4.3,0:36:39,8:30,"7:34,7:55,9:53,8:40,8:16",
Saturday,8/15/2015,,,,,,,,,,,,
Sunday,8/16/2015,,,,,,,,,,,,
Monday,8/17/2015,,7:08 PM,,,Mostly Sunny,UNC Campus,,4.47,0:36:59,8:16,"7:54,7:19,8:19,9:03",
Tuesday,8/18/2015,,,,,,,,,,,,
Wednesday,8/19/2015,,,,,,,,,,,,
Thursday,8/20/2015,,,,,,,,,,,,
Friday,8/21/2015,,4:40 PM,,,Mostly Cloudy,UNC Campus,,4.33,0:35:34,8:13,"7:27,7:15,7:55,8:40",
Saturday,8/22/2015,,,,,,,,,,,,
Sunday,8/23/2015,,,,,,,,,,,,
Monday,8/24/2015,,,,,,,,,,,,
Tuesday,8/25/2015,,,,,,,,,,,,
Wednesday,8/26/2015,,,,,,,,,,,,
Thursday,8/27/2015,,,,,,,,,,,,
Friday,8/28/2015,,,,,,,,,,,,
Saturday,8/29/2015,,,,,,,,,,,,
Sunday,8/30/2015,,,,,,,,,,,,
Monday,8/31/2015,,,,,,,,,,,,
Tuesday,9/1/2015,,,,,,,,,,,,
Wednesday,9/2/2015,,,,,,,,,,,,
Thursday,9/3/2015,,,,,,,,,,,,
Friday,9/4/2015,,,,,,,,,,,,
Saturday,9/5/2015,,,,,,,,,,,,
Sunday,9/6/2015,,,,,,,,,,,,
Monday,9/7/2015,,,,,,,,,,,,
Tuesday,9/8/2015,,,,,,,,,,,,
Wednesday,9/9/2015,,,,,,,,,,,,
Thursday,9/10/2015,,,,,,,,,,,,
Friday,9/11/2015,,,,,,,,,,,,
Saturday,9/12/2015,,,,,,,,,,,,
Sunday,9/13/2015,,,,,,,,,,,,
Monday,9/14/2015,,,,,,,,,,,,
Tuesday,9/15/2015,,,,,,,,,,,,
Wednesday,9/16/2015,,,,,,,,,,,,
Thursday,9/17/2015,,,,,,,,,,,,
Friday,9/18/2015,,,,,,,,,,,,
Saturday,9/19/2015,,,,,,,,,,,,
Sunday,9/20/2015,,,,,,,,,,,,
Monday,9/21/2015,,,,,,,,,,,,
Tuesday,9/22/2015,,,,,,,,,,,,
Wednesday,9/23/2015,,,,,,,,,,,,
Thursday,9/24/2015,,,,,,,,,,,,
Friday,9/25/2015,,,,,,,,,,,,
Saturday,9/26/2015,,,,,,,,,,,,
Sunday,9/27/2015,,,,,,,,,,,,
Monday,9/28/2015,,,,,,,,,,,,
Tuesday,9/29/2015,,,,,,,,,,,,
Wednesday,9/30/2015,,,,,,,,,,,,
Thursday,10/1/2015,,,,,,,,,,,,
Friday,10/2/2015,,,,,,,,,,,,
Saturday,10/3/2015,,,,,,,,,,,,
Sunday,10/4/2015,,,,,,,,,,,,
Monday,10/5/2015,,,,,,,,,,,,
Tuesday,10/6/2015,,,,,,,,,,,,
Wednesday,10/7/2015,,,,,,,,,,,,
Thursday,10/8/2015,,,,,,,,,,,,
Friday,10/9/2015,,,,,,,,,,,,
Saturday,10/10/2015,,,,,,,,,,,,
Sunday,10/11/2015,,,,,,,,,,,,
Monday,10/12/2015,,,,,,,,,,,,
Tuesday,10/13/2015,,,,,,,,,,,,
Wednesday,10/14/2015,,,,,,,,,,,,
Thursday,10/15/2015,,,,,,,,,,,,
Friday,10/16/2015,,,,,,,,,,,,
Saturday,10/17/2015,,,,,,,,,,,,
Sunday,10/18/2015,,,,,,,,,,,,
Monday,10/19/2015,,,,,,,,,,,,
Tuesday,10/20/2015,,,,,,,,,,,,
Wednesday,10/21/2015,,,,,,,,,,,,
Thursday,10/22/2015,,,,,,,,,,,,
Friday,10/23/2015,,,,,,,,,,,,
Saturday,10/24/2015,,,,,,,,,,,,
Sunday,10/25/2015,,,,,,,,,,,,
Monday,10/26/2015,,,,,,,,,,,,
Tuesday,10/27/2015,,,,,,,,,,,,
Wednesday,10/28/2015,,,,,,,,,,,,
Thursday,10/29/2015,,,,,,,,,,,,
Friday,10/30/2015,,,,,,,,,,,,
Saturday,10/31/2015,,,,,,,,,,,,
Sunday,11/1/2015,,,,,,,,,,,,
Monday,11/2/2015,,,,,,,,,,,,
Tuesday,11/3/2015,,,,,,,,,,,,
Wednesday,11/4/2015,,,,,,,,,,,,
Thursday,11/5/2015,,,,,,,,,,,,
Friday,11/6/2015,,,,,,,,,,,,
Saturday,11/7/2015,,,,,,,,,,,,
Sunday,11/8/2015,,,,,,,,,,,,
Monday,11/9/2015,,,,,,,,,,,,
Tuesday,11/10/2015,,,,,,,,,,,,
Wednesday,11/11/2015,,,,,,,,,,,,
Thursday,11/12/2015,,,,,,,,,,,,
Friday,11/13/2015,,,,,,,,,,,,
Saturday,11/14/2015,,,,,,,,,,,,
Sunday,11/15/2015,,,,,,,,,,,,
Monday,11/16/2015,,,,,,,,,,,,
Tuesday,11/17/2015,,,,,,,,,,,,
Wednesday,11/18/2015,,,,,,,,,,,,
Thursday,11/19/2015,,,,,,,,,,,,
Friday,11/20/2015,,,,,,,,,,,,
Saturday,11/21/2015,,,,,,,,,,,,
Sunday,11/22/2015,,,,,,,,,,,,
Monday,11/23/2015,,,,,,,,,,,,
Tuesday,11/24/2015,,,,,,,,,,,,
Wednesday,11/25/2015,,,,,,,,,,,,
Thursday,11/26/2015,,,,,,,,,,,,
Friday,11/27/2015,,,,,,,,,,,,
Saturday,11/28/2015,,,,,,,,,,,,
Sunday,11/29/2015,,,,,,,,,,,,
Monday,11/30/2015,,,,,,,,,,,,
Tuesday,12/1/2015,,,,,,,,,,,,
Wednesday,12/2/2015,,,,,,,,,,,,
Thursday,12/3/2015,,,,,,,,,,,,
Friday,12/4/2015,,,,,,,,,,,,
Saturday,12/5/2015,,,,,,,,,,,,
Sunday,12/6/2015,,,,,,,,,,,,
Monday,12/7/2015,,,,,,,,,,,,
Tuesday,12/8/2015,,,,,,,,,,,,
Wednesday,12/9/2015,,,,,,,,,,,,
Thursday,12/10/2015,,,,,,,,,,,,
Friday,12/11/2015,,,,,,,,,,,,
Saturday,12/12/2015,,,,,,,,,,,,
Sunday,12/13/2015,,,,,,,,,,,,
Monday,12/14/2015,,,,,,,,,,,,
Tuesday,12/15/2015,,,,,,,,,,,,
Wednesday,12/16/2015,,,,,,,,,,,,
Thursday,12/17/2015,,,,,,,,,,,,
Friday,12/18/2015,,,,,,,,,,,,
Saturday,12/19/2015,,,,,,,,,,,,
Sunday,12/20/2015,,,,,,,,,,,,
Monday,12/21/2015,,,,,,,,,,,,
Tuesday,12/22/2015,,,,,,,,,,,,
Wednesday,12/23/2015,,,,,,,,,,,,
Thursday,12/24/2015,,,,,,,,,,,,
Friday,12/25/2015,,,,,,,,,,,,
Saturday,12/26/2015,,,,,,,,,,,,
Sunday,12/27/2015,,,,,,,,,,,,
Monday,12/28/2015,,,,,,,,,,,,
Tuesday,12/29/2015,,,,,,,,,,,,
Wednesday,12/30/2015,,,,,,,,,,,,
Thursday,12/31/2015,,,,,,,,,,,,
Friday,1/1/2016,,,,,,,,,,,,
Saturday,1/2/2016,,,,,,,,,,,,
Sunday,1/3/2016,,,,,,,,,,,,
Monday,1/4/2016,,,,,,,,,,,,
Tuesday,1/5/2016,,1:10 PM,,,,Bonterra Village,Brooks Ghost 8,3.49,0:27:00,7:44,,
Wednesday,1/6/2016,,,,,,,,,,,,
Thursday,1/7/2016,,,,,,,,,,,,
Friday,1/8/2016,,,,,,,,,,,,
Saturday,1/9/2016,,,,,,,,,,,,
Sunday,1/10/2016,,,,,,,,,,,,
Monday,1/11/2016,,,,,,,,,,,,
Tuesday,1/12/2016,,,,,,,,,,,,
Wednesday,1/13/2016,,,,,,,,,,,,
Thursday,1/14/2016,,,,,,,,,,,,
Friday,1/15/2016,,,,,,,,,,,,
Saturday,1/16/2016,,,,,,,,,,,,
Sunday,1/17/2016,,,,,,,,,,,,
Monday,1/18/2016,,,,,,,,,,,,
Tuesday,1/19/2016,,,,,,,,,,,,
Wednesday,1/20/2016,,,,,,,,,,,,
Thursday,1/21/2016,,,,,,,,,,,,
Friday,1/22/2016,,,,,,,,,,,,
Saturday,1/23/2016,,,,,,,,,,,,
Sunday,1/24/2016,,,,,,,,,,,,
Monday,1/25/2016,,,,,,,,,,,,
Tuesday,1/26/2016,,,,,,,,,,,,
Wednesday,1/27/2016,,,,,,,,,,,,
Thursday,1/28/2016,,,,,,,,,,,,
Friday,1/29/2016,,,,,,,,,,,,
Saturday,1/30/2016,,,,,,,,,,,,
Sunday,1/31/2016,,,,,,,,,,,,
Monday,2/1/2016,,,,,,,,,,,,
Tuesday,2/2/2016,,,,,,,,,,,,
Wednesday,2/3/2016,,,,,,,,,,,,
Thursday,2/4/2016,,,,,,,,,,,,
Friday,2/5/2016,,,,,,,,,,,,
Saturday,2/6/2016,,,,,,,,,,,,
Sunday,2/7/2016,,,,,,,,,,,,
Monday,2/8/2016,,,,,,,,,,,,
Tuesday,2/9/2016,,,,,,,,,,,,
Wednesday,2/10/2016,,,,,,,,,,,,
Thursday,2/11/2016,,,,,,,,,,,,
Friday,2/12/2016,,,,,,,,,,,,
Saturday,2/13/2016,,,,,,,,,,,,
Sunday,2/14/2016,,,,,,,,,,,,
Monday,2/15/2016,,,,,,,,,,,,
Tuesday,2/16/2016,,,,,,,,,,,,
Wednesday,2/17/2016,,,,,,,,,,,,
Thursday,2/18/2016,,,,,,,,,,,,
Friday,2/19/2016,,,,,,,,,,,,
Saturday,2/20/2016,,,,,,,,,,,,
Sunday,2/21/2016,,,,,,,,,,,,
Monday,2/22/2016,,,,,,,,,,,,
Tuesday,2/23/2016,,,,,,,,,,,,
Wednesday,2/24/2016,,,,,,,,,,,,
Thursday,2/25/2016,,,,,,,,,,,,
Friday,2/26/2016,,,,,,,,,,,,
Saturday,2/27/2016,,,,,,,,,,,,
Sunday,2/28/2016,,,,,,,,,,,,
Monday,2/29/2016,,,,,,,,,,,,
Tuesday,3/1/2016,,,,,,,,,,,,
Wednesday,3/2/2016,,,,,,,,,,,,
Thursday,3/3/2016,,,,,,,,,,,,
Friday,3/4/2016,,,,,,,,,,,,
Saturday,3/5/2016,,,,,,,,,,,,
Sunday,3/6/2016,,,,,,,,,,,,
Monday,3/7/2016,,,,,,,,,,,,
Tuesday,3/8/2016,,,,,,,,,,,,
Wednesday,3/9/2016,,,,,,,,,,,,
Thursday,3/10/2016,,,,,,,,,,,,
Friday,3/11/2016,,,,,,,,,,,,
Saturday,3/12/2016,,,,,,,,,,,,
Sunday,3/13/2016,,,,,,,,,,,,
Monday,3/14/2016,,,,,,,,,,,,
Tuesday,3/15/2016,,,,,,,,,,,,
Wednesday,3/16/2016,,,,,,,,,,,,
Thursday,3/17/2016,,,,,,,,,,,,
Friday,3/18/2016,,,,,,,,,,,,
Saturday,3/19/2016,,,,,,,,,,,,
Sunday,3/20/2016,,,,,,,,,,,,
Monday,3/21/2016,,,,,,,,,,,,
Tuesday,3/22/2016,,,,,,,,,,,,
Wednesday,3/23/2016,,,,,,,,,,,,
Thursday,3/24/2016,,,,,,,,,,,,
Friday,3/25/2016,,,,,,,,,,,,
Saturday,3/26/2016,,,,,,,,,,,,
Sunday,3/27/2016,,,,,,,,,,,,
Monday,3/28/2016,,,,,,,,,,,,
Tuesday,3/29/2016,,,,,,,,,,,,
Wednesday,3/30/2016,,,,,,,,,,,,
Thursday,3/31/2016,,,,,,,,,,,,
Friday,4/1/2016,,,,,,,,,,,,
Saturday,4/2/2016,,,,,,,,,,,,
Sunday,4/3/2016,,,,,,,,,,,,
Monday,4/4/2016,,,,,,,,,,,,
Tuesday,4/5/2016,,,,,,,,,,,,
Wednesday,4/6/2016,,,,,,,,,,,,
Thursday,4/7/2016,,,,,,,,,,,,
Friday,4/8/2016,,,,,,,,,,,,
Saturday,4/9/2016,,,,,,,,,,,,
Sunday,4/10/2016,,,,,,,,,,,,
Monday,4/11/2016,,,,,,,,,,,,
Tuesday,4/12/2016,,,,,,,,,,,,
Wednesday,4/13/2016,,,,,,,,,,,,
Thursday,4/14/2016,,,,,,,,,,,,
Friday,4/15/2016,,,,,,,,,,,,
Saturday,4/16/2016,,,,,,,,,,,,
Sunday,4/17/2016,,,,,,,,,,,,
Monday,4/18/2016,,,,,,,,,,,,
Tuesday,4/19/2016,,,,,,,,,,,,
Wednesday,4/20/2016,,,,,,,,,,,,
Thursday,4/21/2016,,,,,,,,,,,,
Friday,4/22/2016,,,,,,,,,,,,
Saturday,4/23/2016,,,,,,,,,,,,
Sunday,4/24/2016,,,,,,,,,,,,
Monday,4/25/2016,,,,,,,,,,,,
Tuesday,4/26/2016,,,,,,,,,,,,
Wednesday,4/27/2016,,,,,,,,,,,,
Thursday,4/28/2016,,,,,,,,,,,,
Friday,4/29/2016,,,,,,,,,,,,
Saturday,4/30/2016,,,,,,,,,,,,
Sunday,5/1/2016,,,,,,,,,,,,
Monday,5/2/2016,,,,,,,,,,,,
Tuesday,5/3/2016,,,,,,,,,,,,
Wednesday,5/4/2016,,,,,,,,,,,,
Thursday,5/5/2016,,,,,,,,,,,,
Friday,5/6/2016,,,,,,,,,,,,
Saturday,5/7/2016,,,,,,,,,,,,
Sunday,5/8/2016,,,,,,,,,,,,
Monday,5/9/2016,,,,,,,,,,,,
Tuesday,5/10/2016,,,,,,,,,,,,
Wednesday,5/11/2016,,,,,,,,,,,,
Thursday,5/12/2016,,,,,,,,,,,,
Friday,5/13/2016,,,,,,,,,,,,
Saturday,5/14/2016,,,,,,,,,,,,
Sunday,5/15/2016,,,,,,,,,,,,
Monday,5/16/2016,,,,,,,,,,,,
Tuesday,5/17/2016,,,,,,,,,,,,
Wednesday,5/18/2016,,,,,,,,,,,,
Thursday,5/19/2016,,,,,,,,,,,,
Friday,5/20/2016,,,,,,,,,,,,
Saturday,5/21/2016,,,,,,,,,,,,
Sunday,5/22/2016,,,,,,,,,,,,
Monday,5/23/2016,,,,,,,,,,,,
Tuesday,5/24/2016,,,,,,,,,,,,
Wednesday,5/25/2016,,,,,,,,,,,,
Thursday,5/26/2016,,,,,,,,,,,,
Friday,5/27/2016,,,,,,,,,,,,
Saturday,5/28/2016,,,,,,,,,,,,
Sunday,5/29/2016,,,,,,,,,,,,
Monday,5/30/2016,,,,,,,,,,,,
Tuesday,5/31/2016,,,,,,,,,,,,
Wednesday,6/1/2016,,,,,,,,,,,,
Thursday,6/2/2016,,,,,,,,,,,,
Friday,6/3/2016,,,,,,,,,,,,
Saturday,6/4/2016,,,,,,,,,,,,
Sunday,6/5/2016,,,,,,,,,,,,
Monday,6/6/2016,,,,,,,,,,,,
Tuesday,6/7/2016,,,,,,,,,,,,
Wednesday,6/8/2016,,,,,,,,,,,,
Thursday,6/9/2016,,,,,,,,,,,,
Friday,6/10/2016,,,,,,,,,,,,
Saturday,6/11/2016,,,,,,,,,,,,
Sunday,6/12/2016,,,,,,,,,,,,
Monday,6/13/2016,,,,,,,,,,,,
Tuesday,6/14/2016,,,,,,,,,,,,
Wednesday,6/15/2016,,,,,,,,,,,,
Thursday,6/16/2016,,,,,,,,,,,,
Friday,6/17/2016,,,,,,,,,,,,
Saturday,6/18/2016,,,,,,,,,,,,
Sunday,6/19/2016,,,,,,,,,,,,
Monday,6/20/2016,,,,,,,,,,,,
Tuesday,6/21/2016,,,,,,,,,,,,
Wednesday,6/22/2016,,,,,,,,,,,,
Thursday,6/23/2016,,,,,,,,,,,,
Friday,6/24/2016,,,,,,,,,,,,
Saturday,6/25/2016,,,,,,,,,,,,
Sunday,6/26/2016,,,,,,,,,,,,
Monday,6/27/2016,,,,,,,,,,,,
Tuesday,6/28/2016,,,,,,,,,,,,
Wednesday,6/29/2016,,,,,,,,,,,,
Thursday,6/30/2016,,,,,,,,,,,,
Friday,7/1/2016,,,,,,,,,,,,
Saturday,7/2/2016,,,,,,,,,,,,
Sunday,7/3/2016,,,,,,,,,,,,
Monday,7/4/2016,,,,,,,,,,,,
Tuesday,7/5/2016,,,,,,,,,,,,
Wednesday,7/6/2016,,,,,,,,,,,,
Thursday,7/7/2016,,,,,,,,,,,,
Friday,7/8/2016,,,,,,,,,,,,
Saturday,7/9/2016,,,,,,,,,,,,
Sunday,7/10/2016,,,,,,,,,,,,
Monday,7/11/2016,,,,,,,,,,,,
Tuesday,7/12/2016,,,,,,,,,,,,
Wednesday,7/13/2016,,,,,,,,,,,,
Thursday,7/14/2016,,,,,,,,,,,,
Friday,7/15/2016,,,,,,,,,,,,
Saturday,7/16/2016,,,,,,,,,,,,
Sunday,7/17/2016,,,,,,,,,,,,
Monday,7/18/2016,,,,,,,,,,,,
Tuesday,7/19/2016,,,,,,,,,,,,
Wednesday,7/20/2016,,,,,,,,,,,,
Thursday,7/21/2016,,,,,,,,,,,,
Friday,7/22/2016,,,,,,,,,,,,
Saturday,7/23/2016,,,,,,,,,,,,
Sunday,7/24/2016,,,,,,,,,,,,
Monday,7/25/2016,,,,,,,,,,,,
Tuesday,7/26/2016,,,,,,,,,,,,
Wednesday,7/27/2016,,,,,,,,,,,,
Thursday,7/28/2016,,,,,,,,,,,,
Friday,7/29/2016,,,,,,,,,,,,
Saturday,7/30/2016,,,,,,,,,,,,
