day,date,weight,start_time,run_type,distance_type,weather,location,run_shoes,distance,total_time,average_pace,splits,notes
Tuesday,12/10/2013,,4:00 PM,,Mid Distance,"48,sunny",Bonterra Village,Nike Free 4.0,5.97,0:51:47,8:40,"7:26,8:56,8:55,8:46,8:58",
Wednesday,12/11/2013,,,,,,,,,,,,
Thursday,12/12/2013,,,,,,,,,,,,
Friday,12/13/2013,,11:44 AM,,Short Distance,"54,sunny",Bonterra Village,Nike Free 4.0,3.37,0:28:37,8:29,"7:35,8:33,9:03",
Saturday,12/14/2013,,,,,,,,,,,,
Sunday,12/15/2013,,11:17 AM,,Mid Distance,"57,sunny",Bonterra Village,Nike Free 4.0,7.2,1:01:32,8:33,"7:13,8:42,8:31,9:15,8:38,8:21,9:01",
Monday,12/16/2013,,,,,,,,,,,,
Tuesday,12/17/2013,,12:02 PM,,Long Distance,"48,sunny",Bonterra Village,Nike Free 4.0,9.91,1:27:05,8:47,"7:42,9:08,8:31,9:28,8:20,8:42,9:06,9:02,8:56",
Wednesday,12/18/2013,,,,,,,,,,,,
Thursday,12/19/2013,,,,,,,,,,,,
Friday,12/20/2013,,11:20 AM,,Long Distance,"64,sunny",Bonterra Village,Nike Free 4.0,10,1:29:25,8:56,"7:23,8:51,8:57,8:56,9:03,8:47,9:14,9:24,8:56,9:32",
Saturday,12/21/2013,,,,,,,,,,,,
Sunday,12/22/2013,,11:01 AM,,Short Distance,"46,sunny",Bonterra Village,Nike Free 4.0,2.81,0:24:06,8:33,"7:32,9:01",
Monday,12/23/2013,,,,,,,,,,,,
Tuesday,12/24/2013,,,,,,,,,,,,
Wednesday,12/25/2013,,,,,,,,,,,,
Thursday,12/26/2013,,11:09 AM,,Long Distance,,Bonterra Village,Nike Free 4.0,9.98,1:29:30,8:58,"7:08,8:42,9:14,9:01,8:49,8:53,9:18,9:48,9:08",
Friday,12/27/2013,,,,,,,,,,,,
Saturday,12/28/2013,,,,,,,,,,,,
Sunday,12/29/2013,,,,,,,,,,,,
Monday,12/30/2013,,10:40 AM,,Long Distance,"50,sunny",Bonterra Village,Nike Free 4.0,10,1:26:52,8:38,"7:34,8:38,8:40,8:37,8:44,8:31,9:13,8:41,8:55,8:47",
Tuesday,12/31/2013,,,,,,,,,,,,
Wednesday,1/1/2014,,,,,,,,,,,,
Thursday,1/2/2014,,12:43 PM,,Mid Distance,"48,cloudy",Bonterra Village,Nike Free 4.0,5.03,0:41:54,8:19,"7:26,8:45,8:12,8:39,8:25",
Friday,1/3/2014,,,,,,,,,,,,
Saturday,1/4/2014,,,,,,,,,,,,
Sunday,1/5/2014,,11:43 AM,,Short Distance,"37,cloudy",Bonterra Village,Nike Free 4.0,4.28,0:33:10,7:44,"7:23,7:26,8:03,8:08,",
Monday,1/6/2014,,10:38 AM,,Long Distance,,Bonterra Village,Nike Free 4.0,10.1,1:24:58,8:24,"7:18,8:31,8:10,8:33,8:21,8:12,9:06,8:28,8:28,8:52",
Tuesday,1/7/2014,,,,,,,,,,,,
Wednesday,1/8/2014,,,,,,,,,,,,
Thursday,1/9/2014,,,,,,,,,,,,
Friday,1/10/2014,,6:15 PM,,Short Distance,"72,sunny",Vistana Resort,Nike Free 4.0,2.28,0:20:44,9:04,"8:19,9:35",
Saturday,1/11/2014,,,,,,,,,,,,
Sunday,1/12/2014,,,,Race,,Walt Disney World Resort,Nike Free 4.0,26.2,4:48:03,,,
Monday,1/13/2014,,,,,,,,,,,,
Tuesday,1/14/2014,,,,,,,,,,,,
Wednesday,1/15/2014,,,,,,,,,,,,
Thursday,1/16/2014,,,,,,,,,,,,
Friday,1/17/2014,,,,,,,,,,,,
Saturday,1/18/2014,,,,,,,,,,,,
Sunday,1/19/2014,,,,,,,,,,,,
Monday,1/20/2014,,,,,,,,,,,,
Tuesday,1/21/2014,,,,,,,,,,,,
Wednesday,1/22/2014,,,,,,,,,,,,
Thursday,1/23/2014,,,,,,,,,,,,
Friday,1/24/2014,,,,,,,,,,,,
Saturday,1/25/2014,,,,,,,,,,,,
Sunday,1/26/2014,,,,,,,,,,,,
Monday,1/27/2014,,,,,,,,,,,,
Tuesday,1/28/2014,,,,,,,,,,,,
Wednesday,1/29/2014,,,,,,,,,,,,
Thursday,1/30/2014,,,,,,,,,,,,
Friday,1/31/2014,,,,,,,,,,,,
Saturday,2/1/2014,,,,,,,,,,,,
Sunday,2/2/2014,,,,,,,,,,,,
Monday,2/3/2014,,,,,,,,,,,,
Tuesday,2/4/2014,,,,,,,,,,,,
Wednesday,2/5/2014,,,,,,,,,,,,
Thursday,2/6/2014,,,,,,,,,,,,
Friday,2/7/2014,,,,,,,,,,,,
Saturday,2/8/2014,,,,,,,,,,,,
Sunday,2/9/2014,,,,,,,,,,,,
Monday,2/10/2014,,,,,,,,,,,,
Tuesday,2/11/2014,,,,,,,,,,,,
Wednesday,2/12/2014,,,,,,,,,,,,
Thursday,2/13/2014,,,,,,,,,,,,
Friday,2/14/2014,,,,,,,,,,,,
Saturday,2/15/2014,,,,,,,,,,,,
Sunday,2/16/2014,,,,,,,,,,,,
Monday,2/17/2014,,,,,,,,,,,,
Tuesday,2/18/2014,,,,,,,,,,,,
Wednesday,2/19/2014,,3:15 PM,,Short Distance,"73,cloudy",Bonterra Village,Nike Free 4.0,2.22,0:19:14,8:39,"7:24,9:42",
Thursday,2/20/2014,,,,,,,,,,,,
Friday,2/21/2014,,,,,,,,,,,,
Saturday,2/22/2014,,,,,,,,,,,,
Sunday,2/23/2014,,11:28 AM,,Short Distance,"66,sunny",Bonterra Village,Nike Free 4.0,2.64,0:21:58,8:18,"7:28,8:49",
Monday,2/24/2014,,,,,,,,,,,,
Tuesday,2/25/2014,,,,,,,,,,,,
Wednesday,2/26/2014,,,,,,,,,,,,
Thursday,2/27/2014,,,,,,,,,,,,
Friday,2/28/2014,,,,,,,,,,,,
Saturday,3/1/2014,,,,,,,,,,,,
Sunday,3/2/2014,,3:35 PM,,Short Distance,"72,sunny",Bonterra Village,Nike Free 4.0,2.6,0:22:25,8:36,"7:54,8:59",
Monday,3/3/2014,,,,,,,,,,,,
Tuesday,3/4/2014,,,,,,,,,,,,
Wednesday,3/5/2014,,,,,,,,,,,,
Thursday,3/6/2014,,,,,,,,,,,,
Friday,3/7/2014,,,,,,,,,,,,
Saturday,3/8/2014,,4:01 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,3.34,0:28:58,8:39,"7:25,8:53,9:30",
Sunday,3/9/2014,,,,,,,,,,,,
Monday,3/10/2014,,,,,,,,,,,,
Tuesday,3/11/2014,,,,,,,,,,,,
Wednesday,3/12/2014,,,,,,,,,,,,
Thursday,3/13/2014,,,,,,,,,,,,
Friday,3/14/2014,,,,,,,,,,,,
Saturday,3/15/2014,,3:48 PM,,Short Distance,"72,sunny",Bonterra Village,Nike Free 4.0,2.62,0:22:43,8:40,"7:38,9:17",
Sunday,3/16/2014,,,,,,,,,,,,
Monday,3/17/2014,,,,,,,,,,,,
Tuesday,3/18/2014,,,,,,,,,,,,
Wednesday,3/19/2014,,,,,,,,,,,,
Thursday,3/20/2014,,,,,,,,,,,,
Friday,3/21/2014,,,,,,,,,,,,
Saturday,3/22/2014,,,,,,,,,,,,
Sunday,3/23/2014,,,,,,,,,,,,
Monday,3/24/2014,,,,,,,,,,,,
Tuesday,3/25/2014,,,,,,,,,,,,
Wednesday,3/26/2014,,,,,,,,,,,,
Thursday,3/27/2014,,,,,,,,,,,,
Friday,3/28/2014,,,,,,,,,,,,
Saturday,3/29/2014,,,,,,,,,,,,
Sunday,3/30/2014,,,,,,,,,,,,
Monday,3/31/2014,,,,,,,,,,,,
Tuesday,4/1/2014,,,,,,,,,,,,
Wednesday,4/2/2014,,,,,,,,,,,,
Thursday,4/3/2014,,,,,,,,,,,,
Friday,4/4/2014,,12:35 PM,,Short Distance,"75,sunny",Bonterra Village,Nike Free 4.0,3.36,0:28:58,8:36,"7:46,9:08,8:52",
Saturday,4/5/2014,,10:00 AM,,Short Distance,"64,sunny",Bonterra Village,Nike Free 4.0,2.58,0:20:14,7:50,"7:29,8:12",
Sunday,4/6/2014,,3:24 PM,,Short Distance,"57,cloudy",Bonterra Village,Nike Free 4.0,2.6,0:20:59,8:03,"7:01,8:56",
Monday,4/7/2014,,,,,,,,,,,,
Tuesday,4/8/2014,,3:47 PM,,Short Distance,"68,sunny",Bonterra Village,Nike Free 4.0,2.61,0:20:49,7:57,"7:11,8:23",
Wednesday,4/9/2014,,,,,,,,,,,,
Thursday,4/10/2014,,4:02 PM,,Short Distance,"75,sunny",Bonterra Village,Nike Free 4.0,2.52,0:21:06,8:22,"7:18,8:51",
Friday,4/11/2014,,12:23 PM,,Short Distance,"79,sunny",Bonterra Village,Nike Free 4.0,2.56,0:21:01,8:12,"7:22,8:33",
Saturday,4/12/2014,,,,,,,,,,,,
Sunday,4/13/2014,,10:03 AM,,Short Distance,"73,sunny",Bonterra Village,Nike Free 4.0,2.58,0:21:35,8:20,"7:20,8:36",
Monday,4/14/2014,,,,,,,,,,,,
Tuesday,4/15/2014,,1:24 PM,,Short Distance,"68,cloudy",Bonterra Village,Nike Free 4.0,1.11,0:07:59,7:09,7:13,
Wednesday,4/16/2014,,,,,,,,,,,,
Thursday,4/17/2014,,,,,,,,,,,,
Friday,4/18/2014,,,,,,,,,,,,
Saturday,4/19/2014,,,,,,,,,,,,
Sunday,4/20/2014,,7:01 PM,,Short Distance,"64,cloudy",Bonterra Village,Nike Free 4.0,3.01,0:27:44,9:11,"7:53,9:56,9:38",
Monday,4/21/2014,,5:30 PM,,Short Distance,"50,sunny",Bonterra Village,Nike Free 4.0,2.55,0:20:58,8:12,"7:03,8:39",
Tuesday,4/22/2014,,,,,,,,,,,,
Wednesday,4/23/2014,,,,,,,,,,,,
Thursday,4/24/2014,,,,,,,,,,,,
Friday,4/25/2014,,,,,,,,,,,,
Saturday,4/26/2014,,,,,,,,,,,,
Sunday,4/27/2014,,,,,,,,,,,,
Monday,4/28/2014,,,,,,,,,,,,
Tuesday,4/29/2014,,,,,,,,,,,,
Wednesday,4/30/2014,,,,,,,,,,,,
Thursday,5/1/2014,,,,,,,,,,,,
Friday,5/2/2014,,,,,,,,,,,,
Saturday,5/3/2014,,10:29 AM,,Short Distance,"72,sunny",Bonterra Village,Nike Free 4.0,2.64,0:21:37,8:11,"7:00,9:13",
Sunday,5/4/2014,,10:23 AM,,Short Distance,"84,sunny",Bonterra Village,Nike Free 4.0,2.57,0:20:42,8:02,"7:19,8:29",
Monday,5/5/2014,,,,,,,,,,,,
Tuesday,5/6/2014,,4:43 PM,,Short Distance,"91,sunny",Bonterra Village,Nike Free 4.0,2.56,0:20:35,8:01,"6:52,8:41",
Wednesday,5/7/2014,,,,,,,,,,,,
Thursday,5/8/2014,,,,,,,,,,,,
Friday,5/9/2014,,,,,,,,,,,,
Saturday,5/10/2014,,,,,,,,,,,,
Sunday,5/11/2014,,,,,,,,,,,,
Monday,5/12/2014,,,,,,,,,,,,
Tuesday,5/13/2014,,,,,,,,,,,,
Wednesday,5/14/2014,,,,,,,,,,,,
Thursday,5/15/2014,,,,,,,,,,,,
Friday,5/16/2014,,8:14 PM,,Short Distance,"59,clear",Bonterra Village,Nike Free 4.0,2.47,0:20:28,8:15,"7:14,8:46",
Saturday,5/17/2014,,,,,,,,,,,,
Sunday,5/18/2014,,4:37 PM,,Short Distance,"70,cloudy",Bonterra Village,Nike Free 4.0,2.58,0:20:41,8:00,"7:20,8:33",
Monday,5/19/2014,,7:16 PM,,Short Distance,"68,clear",Bonterra Village,Nike Free 4.0,2.59,0:20:18,7:50,"6:59,8:31",
Tuesday,5/20/2014,,,,,,,,,,,,
Wednesday,5/21/2014,,9:49 AM,,Short Distance,"77,sunny",Bonterra Village,Nike Free 4.0,2.57,0:20:54,8:07,"6:50,8:37",
Thursday,5/22/2014,,,,,,,,,,,,
Friday,5/23/2014,,,,,,,,,,,,
Saturday,5/24/2014,,7:45 AM,,Short Distance,"70,sunny",Bonterra Village,Nike Free 4.0,2.01,0:16:11,8:01,"6:52,9:04",
Sunday,5/25/2014,,,,,,,,,,,,
Monday,5/26/2014,,,,,,,,,,,,
Tuesday,5/27/2014,,,,,,,,,,,,
Wednesday,5/28/2014,,,,,,,,,,,,
Thursday,5/29/2014,,,,,,,,,,,,
Friday,5/30/2014,,10:36 AM,,Short Distance,"77,cloudy",Bonterra Village,Nike Free 4.0,2.52,0:20:30,8:08,"7:12,8:48",
Saturday,5/31/2014,,,,,,,,,,,,
Sunday,6/1/2014,,4:39 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,2.59,0:20:46,8:01,"7:13,8:29",
Monday,6/2/2014,,,,,,,,,,,,
Tuesday,6/3/2014,,12:09 PM,,Short Distance,"88,sunny",Bonterra Village,Nike Free 4.0,2.58,0:21:03,8:08,"6:58,8:39",
Wednesday,6/4/2014,,7:11 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,2.6,0:22:18,8:33,"7:15,8:58",
Thursday,6/5/2014,,8:05 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,3.17,0:26:46,8:25,"7:14,8:58,8:50",
Friday,6/6/2014,,9:42 AM,,Short Distance,"84,cloudy",Bonterra Village,Nike Free 4.0,1.7,0:14:17,8:24,7:33,
Saturday,6/7/2014,,4:07 PM,,Short Distance,,Bonterra Village,Nike Free 4.0,2.61,0:21:45,8:20,"6:55,8:58",
Sunday,6/8/2014,,10:55 AM,,Short Distance,"77,cloudy",Bonterra Village,Nike Free 4.0,2.58,0:21:53,8:27,"7:17,9:16",
Monday,6/9/2014,,10:41 AM,,Short Distance,"82,partly cloudy",Bonterra Village,Nike Free 4.0,2.3,0:20:36,8:56,"7:27,9:39",
Tuesday,6/10/2014,,4:34 PM,,Short Distance,"90,partly cloudy",Bonterra Village,Nike Free 4.0,2.58,0:22:04,8:32,"7:20,8:48",
Wednesday,6/11/2014,,,,,,,,,,,,
Thursday,6/12/2014,,,,,,,,,,,,
Friday,6/13/2014,,,,,,,,,,,,
Saturday,6/14/2014,,11:24 AM,,Short Distance,"82,sunny",Bonterra Village,Nike Free 4.0,2.69,0:22:21,8:17,"6:55,9:05",
Sunday,6/15/2014,,3:45 PM,,Short Distance,"90,sunny",Bonterra Village,Nike Free 4.0,2.57,0:21:30,8:21,"7:09,8:59",
Monday,6/16/2014,,,,,,,,,,,,
Tuesday,6/17/2014,,4:15 PM,,Short Distance,"97,sunny",Bonterra Village,Nike Free 4.0,2.33,0:18:49,8:03,"6:46,8:52",
Wednesday,6/18/2014,,,,,,,,,,,,
Thursday,6/19/2014,,,,,,,,,,,,
Friday,6/20/2014,,10:20 AM,,Short Distance,,Bonterra Village,Nike Free 4.0,2.42,0:21:42,8:58,"7:08,9:56",
Saturday,6/21/2014,,,,,,,,,,,,
Sunday,6/22/2014,,,,,,,,,,,,
Monday,6/23/2014,,7:59 PM,,Short Distance,"82,cloudy",Bonterra Village,Nike Free 4.0,2.58,0:21:06,8:10,"7:01,8:49",
Tuesday,6/24/2014,,,,,,,,,,,,
Wednesday,6/25/2014,,,,,,,,,,,,
Thursday,6/26/2014,,7:36 PM,,Short Distance,"88,sunny",Bonterra Village,Nike Free 4.0,2.57,0:21:38,8:24,"7:06,8:47",
Friday,6/27/2014,,,,,,,,,,,,
Saturday,6/28/2014,,,,,,,,,,,,
Sunday,6/29/2014,,8:12 PM,,Short Distance,"77,clear",Bonterra Village,Nike Free 4.0,2.57,0:21:50,8:28,"7:17,9:03",
Monday,6/30/2014,,,,,,,,,,,,
Tuesday,7/1/2014,,5:24 PM,,Short Distance,,Bonterra Village,Brooks Ghost 6,1.85,0:15:43,8:29,7:06,
Wednesday,7/2/2014,,,,,,,,,,,,
Thursday,7/3/2014,,7:02 PM,,Short Distance,"86,clear",Bonterra Village,Brooks Ghost 6,1.54,0:12:01,7:46,6:59,
Friday,7/4/2014,,,,,,,,,,,,
Saturday,7/5/2014,,4:30 PM,,Short Distance,"86,sunny",Bonterra Village,Brooks Ghost 6,1.1,0:08:49,7:58,7:10,
Sunday,7/6/2014,,,,,,,,,,,,
Monday,7/7/2014,,7:32 PM,,Short Distance,,Bonterra Village,Brooks Ghost 6,3.98,0:34:57,8:46,"6:53,9:08,9:06",
Tuesday,7/8/2014,,7:19 PM,,Short Distance,"88,sunny",Bonterra Village,Brooks Ghost 6,2.73,0:23:50,8:43,"6:48,8:57",
Wednesday,7/9/2014,,,,,,,,,,,,
Thursday,7/10/2014,,,,,,,,,,,,
Friday,7/11/2014,,,,,,,,,,,,
Saturday,7/12/2014,,2:52 PM,,Short Distance,"93,cloudy",Bonterra Village,Brooks Ghost 6,2.59,0:21:58,8:28,"6:58,9:01",
Sunday,7/13/2014,,6:27 PM,,Short Distance,"90,sunny",Bonterra Village,Brooks Ghost 6,1.83,0:16:28,8:58,7:19,
Monday,7/14/2014,,,,,,,,,,,,
Tuesday,7/15/2014,,,,,,,,,,,,
Wednesday,7/16/2014,,,,,,,,,,,,
Thursday,7/17/2014,,9:15 AM,,Short Distance,"72,cloudy",Bonterra Village,Brooks Ghost 6,3.13,0:26:56,8:35,"7:20,8:54,9:30",
Thursday,7/17/2014,,7:13 PM,,Short Distance,"82,partly cloudy",Bonterra Village,Brooks Ghost 6,2.54,0:20:41,8:08,"7:27,8:27",
Friday,7/18/2014,,10:28 AM,,Short Distance,"81,sunny",Bonterra Village,Brooks Ghost 6,2.36,0:19:53,8:25,"7:07,9:08",
Saturday,7/19/2014,,,,,,,,,,,,
Sunday,7/20/2014,,,,,,,,,,,,
Monday,7/21/2014,,7:59 AM,,Short Distance,"73,cloudy",Bonterra Village,Brooks Ghost 6,2.65,0:21:41,8:10,"7:05,8:43",
Tuesday,7/22/2014,,,,,,,,,,,,
Wednesday,7/23/2014,,,,,,,,,,,,
Thursday,7/24/2014,,,,,,,,,,,,
Friday,7/25/2014,,,,,,,,,,,,
Saturday,7/26/2014,,,,,,,,,,,,
Sunday,7/27/2014,,10:00 AM,,Short Distance,"72,sunny",Bonterra Village,Brooks Ghost 6,1.92,0:17:48,9:14,7:34,
Monday,7/28/2014,,11:58 AM,,Short Distance,"93,sunny",Bonterra Village,Brooks Ghost 6,2.58,0:22:35,8:43,"7:38,8:40",
Tuesday,7/29/2014,,4:35 PM,,Short Distance,"84,sunny",Bonterra Village,Brooks Ghost 6,2.6,0:20:36,7:55,"6:49,8:16",
Wednesday,7/30/2014,,,,,,,,,,,,
Thursday,7/31/2014,,,,,,,,,,,,
Friday,8/1/2014,,,,,,,,,,,,
Saturday,8/2/2014,,7:22 PM,,Short Distance,"70,cloudy",Bonterra Village,Brooks Ghost 6,2.2,0:17:49,8:05,"6:59,8:58",
Sunday,8/3/2014,,,,,,,,,,,,
Monday,8/4/2014,,5:36 PM,,Short Distance,,Bonterra Village,Brooks Ghost 6,2.51,0:23:03,9:10,"7:02,11:08",
Tuesday,8/5/2014,,,,,,,,,,,,
Wednesday,8/6/2014,,5:45 PM,,Short Distance,"90,sunny",Bonterra Village,Brooks Ghost 6,3.2,0:26:54,8:23,"6:39,8:45,9:43",
Thursday,8/7/2014,,,,,,,,,,,,
Friday,8/8/2014,,,,,,,,,,,,
Saturday,8/9/2014,,,,,,,,,,,,
Sunday,8/10/2014,,,,,,,,,,,,
Monday,8/11/2014,,7:32 PM,,Short Distance,"79,partly cloudy",Bonterra Village,Brooks Ghost 6,3.72,0:31:59,8:36,"7:32,8:16,9:40",
Tuesday,8/12/2014,,,,,,,,,,,,
Wednesday,8/13/2014,,,,,,,,,,,,
Thursday,8/14/2014,,,,,,,,,,,,
Friday,8/15/2014,,,,,,,,,,,,
Saturday,8/16/2014,,4:08 PM,,Short Distance,,UNC Campus,Brooks Ghost 6,3.51,0:33:16,9:28,"7:48,10:40,10:01",
Sunday,8/17/2014,,,,,,,,,,,,
Monday,8/18/2014,,,,,,,,,,,,
Tuesday,8/19/2014,,,,,,,,,,,,
Wednesday,8/20/2014,,,,,,,,,,,,
Thursday,8/21/2014,,,,,,,,,,,,
Friday,8/22/2014,,,,,,,,,,,,
Saturday,8/23/2014,,,,,,,,,,,,
Sunday,8/24/2014,,,,,,,,,,,,
Monday,8/25/2014,,,,,,,,,,,,
Tuesday,8/26/2014,,,,,,,,,,,,
Wednesday,8/27/2014,,,,,,,,,,,,
Thursday,8/28/2014,,,,,,,,,,,,
Friday,8/29/2014,,,,,,,,,,,,
Saturday,8/30/2014,,,,,,,,,,,,
Sunday,8/31/2014,,,,,,,,,,,,
Monday,9/1/2014,,7:03 PM,,Short Distance,"80,sunny",UNC Campus,Brooks Ghost 6,3.53,0:31:41,8:58,"8:10,7:51,10:17",
Tuesday,9/2/2014,,,,,,,,,,,,
Wednesday,9/3/2014,,,,,,,,,,,,
Thursday,9/4/2014,,,,,,,,,,,,
Friday,9/5/2014,,,,,,,,,,,,
Saturday,9/6/2014,,,,,,,,,,,,
Sunday,9/7/2014,,,,,,,,,,,,
Monday,9/8/2014,,,,,,,,,,,,
Tuesday,9/9/2014,,,,,,,,,,,,
Wednesday,9/10/2014,,,,,,,,,,,,
Thursday,9/11/2014,,,,,,,,,,,,
Friday,9/12/2014,,8:08 AM,,Short Distance,,UNC Campus,Brooks Ghost 6,3.27,0:27:24,8:21,"8:10,8:39,8:30",
Saturday,9/13/2014,,,,,,,,,,,,
Sunday,9/14/2014,,,,,,,,,,,,
Monday,9/15/2014,,,,,,,,,,,,
Tuesday,9/16/2014,,,,,,,,,,,,
Wednesday,9/17/2014,,,,,,,,,,,,
Thursday,9/18/2014,,,,,,,,,,,,
Friday,9/19/2014,,,,,,,,,,,,
Saturday,9/20/2014,,,,,,,,,,,,
Sunday,9/21/2014,,,,,,,,,,,,
Monday,9/22/2014,,,,,,,,,,,,
Tuesday,9/23/2014,,,,,,,,,,,,
Wednesday,9/24/2014,,,,,,,,,,,,
Thursday,9/25/2014,,,,,,,,,,,,
Friday,9/26/2014,,,,,,,,,,,,
Saturday,9/27/2014,,,,,,,,,,,,
Sunday,9/28/2014,,,,,,,,,,,,
Monday,9/29/2014,,,,,,,,,,,,
Tuesday,9/30/2014,,,,,,,,,,,,
Wednesday,10/1/2014,,,,,,,,,,,,
Thursday,10/2/2014,,,,,,,,,,,,
Friday,10/3/2014,,,,,,,,,,,,
Saturday,10/4/2014,,,,,,,,,,,,
Sunday,10/5/2014,,,,,,,,,,,,
Monday,10/6/2014,,,,,,,,,,,,
Tuesday,10/7/2014,,,,,,,,,,,,
Wednesday,10/8/2014,,,,,,,,,,,,
Thursday,10/9/2014,,,,,,,,,,,,
Friday,10/10/2014,,,,,,,,,,,,
Saturday,10/11/2014,,,,,,,,,,,,
Sunday,10/12/2014,,,,,,,,,,,,
Monday,10/13/2014,,,,,,,,,,,,
Tuesday,10/14/2014,,,,,,,,,,,,
Wednesday,10/15/2014,,,,,,,,,,,,
Thursday,10/16/2014,,,,,,,,,,,,
Friday,10/17/2014,,,,,,,,,,,,
Saturday,10/18/2014,,,,,,,,,,,,
Sunday,10/19/2014,,,,,,,,,,,,
Monday,10/20/2014,,,,,,,,,,,,
Tuesday,10/21/2014,,,,,,,,,,,,
Wednesday,10/22/2014,,,,,,,,,,,,
Thursday,10/23/2014,,,,,,,,,,,,
Friday,10/24/2014,,,,,,,,,,,,
Saturday,10/25/2014,,,,,,,,,,,,
Sunday,10/26/2014,,,,,,,,,,,,
Monday,10/27/2014,,,,,,,,,,,,
Tuesday,10/28/2014,,,,,,,,,,,,
Wednesday,10/29/2014,,,,,,,,,,,,
Thursday,10/30/2014,,,,,,,,,,,,
Friday,10/31/2014,,,,,,,,,,,,
Saturday,11/1/2014,,,,,,,,,,,,
Sunday,11/2/2014,,,,,,,,,,,,
Monday,11/3/2014,,,,,,,,,,,,
Tuesday,11/4/2014,,,,,,,,,,,,
Wednesday,11/5/2014,,,,,,,,,,,,
Thursday,11/6/2014,,,,,,,,,,,,
Friday,11/7/2014,,,,,,,,,,,,
Saturday,11/8/2014,,,,,,,,,,,,
Sunday,11/9/2014,,,,,,,,,,,,
Monday,11/10/2014,,,,,,,,,,,,
Tuesday,11/11/2014,,,,,,,,,,,,
Wednesday,11/12/2014,,,,,,,,,,,,
Thursday,11/13/2014,,,,,,,,,,,,
Friday,11/14/2014,,,,,,,,,,,,
Saturday,11/15/2014,,,,,,,,,,,,
Sunday,11/16/2014,,,,,,,,,,,,
Monday,11/17/2014,,,,,,,,,,,,
Tuesday,11/18/2014,,,,,,,,,,,,
Wednesday,11/19/2014,,,,,,,,,,,,
Thursday,11/20/2014,,,,,,,,,,,,
Friday,11/21/2014,,,,,,,,,,,,
Saturday,11/22/2014,,,,,,,,,,,,
Sunday,11/23/2014,,,,,,,,,,,,
Monday,11/24/2014,,,,,,,,,,,,
Tuesday,11/25/2014,,,,,,,,,,,,
Wednesday,11/26/2014,,,,,,,,,,,,
Thursday,11/27/2014,,,,,,,,,,,,
Friday,11/28/2014,,,,,,,,,,,,
Saturday,11/29/2014,,,,,,,,,,,,
Sunday,11/30/2014,,,,,,,,,,,,
Monday,12/1/2014,,,,,,,,,,,,
Tuesday,12/2/2014,,,,,,,,,,,,
Wednesday,12/3/2014,,,,,,,,,,,,
Thursday,12/4/2014,,,,,,,,,,,,
Friday,12/5/2014,,,,,,,,,,,,
Saturday,12/6/2014,,,,,,,,,,,,
Sunday,12/7/2014,,,,,,,,,,,,
Monday,12/8/2014,,,,,,,,,,,,
Tuesday,12/9/2014,,,,,,,,,,,,
Wednesday,12/10/2014,,,,,,,,,,,,
Thursday,12/11/2014,,,,,,,,,,,,
Friday,12/12/2014,,,,,,,,,,,,
Saturday,12/13/2014,,,,,,,,,,,,
Sunday,12/14/2014,,,,,,,,,,,,
Monday,12/15/2014,,,,,,,,,,,,
Tuesday,12/16/2014,,,,,,,,,,,,
Wednesday,12/17/2014,,,,,,,,,,,,
Thursday,12/18/2014,,,,,,,,,,,,
Friday,12/19/2014,,,,,,,,,,,,
Saturday,12/20/2014,,,,,,,,,,,,
Sunday,12/21/2014,,,,,,,,,,,,
Monday,12/22/2014,,,,,,,,,,,,
Tuesday,12/23/2014,,,,,,,,,,,,
Wednesday,12/24/2014,,,,,,,,,,,,
Thursday,12/25/2014,,,,,,,,,,,,
Friday,12/26/2014,,,,,,,,,,,,
Saturday,12/27/2014,,,,,,,,,,,,
Sunday,12/28/2014,,,,,,,,,,,,
Monday,12/29/2014,,,,,,,,,,,,
Tuesday,12/30/2014,,,,,,,,,,,,
Wednesday,12/31/2014,,,,,,,,,,,,
Thursday,1/1/2015,,,,,,,,,,,,
Friday,1/2/2015,,,,,,,,,,,,
Saturday,1/3/2015,,,,,,,,,,,,
Sunday,1/4/2015,,,,,,,,,,,,
Monday,1/5/2015,,,,,,,,,,,,
Tuesday,1/6/2015,,,,,,,,,,,,
Wednesday,1/7/2015,,,,,,,,,,,,
Thursday,1/8/2015,,,,,,,,,,,,
Friday,1/9/2015,,,,,,,,,,,,
Saturday,1/10/2015,,,,,,,,,,,,
Sunday,1/11/2015,,,,,,,,,,,,
Monday,1/12/2015,,,,,,,,,,,,
Tuesday,1/13/2015,,,,,,,,,,,,
Wednesday,1/14/2015,,,,,,,,,,,,
Thursday,1/15/2015,,,,,,,,,,,,
Friday,1/16/2015,,,,,,,,,,,,
Saturday,1/17/2015,,,,,,,,,,,,
Sunday,1/18/2015,,,,,,,,,,,,
Monday,1/19/2015,,,,,,,,,,,,
Tuesday,1/20/2015,,,,,,,,,,,,
Wednesday,1/21/2015,,,,,,,,,,,,
Thursday,1/22/2015,,,,,,,,,,,,
Friday,1/23/2015,,,,,,,,,,,,
Saturday,1/24/2015,,,,,,,,,,,,
Sunday,1/25/2015,,,,,,,,,,,,
Monday,1/26/2015,,,,,,,,,,,,
